title,instructor,organization,assignments,overall rating,challenge,workload,requirement,expected grade,expected grade P/F,response count
17250 - ARCH 207 - TECHNOLOGY I - Fall 2017,"Wittenberg, Gordon G.; Costanza, David N.",2.07,2.32,2.24,1.9,3.38,1.93,1.21,1,29
13520 - ASTR 202 - EXPLORATN OF THE SOLAR SYSTEM - Fall 2017,"Levy, Eugene H.",2,2.2,2,2.4,2.2,1.75,2.33,1,5
10750 - BIOC 115 - FRESHMAN BIOLOGY SEMINAR (BCB) - Fall 2017,"Kirienko, Daniel R.",1.75,1.5,1.63,2,2.5,3.5,1.13,0,8
10750 - BIOC 115 - FRESHMAN BIOLOGY SEMINAR (BCB) - Fall 2017,"Kirienko, Daniel R.",1.75,1.5,1.63,2,2.5,3.5,1.13,0,8
10750 - BIOC 115 - FRESHMAN BIOLOGY SEMINAR (BCB) - Fall 2017,"Kirienko, Daniel R.",1.75,1.5,1.63,2,2.5,3.5,1.13,0,8
10750 - BIOC 115 - FRESHMAN BIOLOGY SEMINAR (BCB) - Fall 2017,"Kirienko, Daniel R.",1.75,1.5,1.63,2,2.5,3.5,1.13,0,8
13066 - BIOC 122 - BIOLOGY FOR VOTERS - Fall 2017,"Caprette, David",1.67,1.56,1.88,2,1.89,2,1.56,1.67,9
11327 - BIOC 201 - INTRODUCTORY BIOLOGY - Fall 2017,"Gustin, Michael",1.95,1.86,1.77,1.69,3.23,2.07,1.54,1.29,207
10775 - BIOC 341 - CELL BIOLOGY - Fall 2016,"McNew, James A.",2.15,2.36,2.44,1.91,3.83,2.16,2.01,1.08,75
11804 - BIOC 344 - MOLECULAR BIOLOGY &amp; GENETICS - Fall 2017,"Zhong, Weiwei",2.23,2.64,2.55,1.98,3.11,2.16,1.95,1,44
16985 - BIOC 372 - IMMUNOLOGY - Fall 2017,"Novotny, Alma M.",1.6,1.58,1.51,1.44,3.89,2.73,1.37,1,45
10940 - BIOC 385 - FUNDAMENTALS OF NEUROSCIENCE - Fall 2017,"Caprette, David",1.58,1.63,1.56,1.5,3.4,2.59,1.73,1,60
10090 - CAAM 335 - MATRIX ANALYSIS - Fall 2017,"Heinkenschloss, Matthias",1.9,1.77,2,1.3,3.7,2.07,1.78,1,60
10090 - CAAM 335 - MATRIX ANALYSIS - Fall 2017,"Heinkenschloss, Matthias",1.9,1.77,2,1.3,3.7,2.07,1.78,1,60
10499 - CHEM 121 - GENERAL CHEMISTRY I - Fall 2017,"Tran Lu, Lesa",1.7,2.08,2.25,1.37,4.1,2,2.23,1.13,115
10499 - CHEM 121 - GENERAL CHEMISTRY I - Fall 2017,"Tran Lu, Lesa",1.7,2.08,2.25,1.37,4.1,2,2.23,1.13,115
